Clicker Cupcake;1;1,38;2,5;6,62;12,5;25;28
Clicker Flor;1;3,14;2,5;6,62;14,26;28,52;28
Cobra Articulada (45cm);6;12,07;3;;27,07;54,14;55
Cruz com nome (8cm);1;1,2;2,5;;5,7;11,4;20
Cruz sem nome (8cm);1;1,17;2,5;;5,67;11,34;18
Decoração Floral;2;2,18;2,5;;8,68;17,36;18
Divino Espírito Santo (15cm);3;5,49;2,5;;13,99;27,98;35
Divino Espírito Santo (9cm);1;1,14;2,5;;5,64;11,28;20
Enrolador de cabo de celular Isabella;2;5,46;2,5;;11,96;23,92;30
Escultura Ressonância Celestial;5;8,31;2,5;;20,81;41,62;50
Fidget Bola Giratória;5;12,78;2,5;;25,28;50,56;55
Fidget Cubo Infinito (Pequeno);2;4,84;2,5;;11,34;22,68;28
Fidget Hexágono Giratório (V2);2;7,12;2,5;;13,62;27,24;20
Jogo Equilíbrio de Dragão;12;36,51;2,5;;63,01;126,02;125
Kit Bastidor;3;9,75;2,5;;18,25;36,5;30
Kit Réguas em T;1;3,01;1;;6,01;12,02;20
Kit Réguas Encadernação;2;7,45;1,5;;12,95;25,9;20
Lixeira de mesa com nome;14;44,01;2,5;;74,51;149,02;180
Lixeira de mesa sem nome;12;39,27;2,5;;65,77;131,54;150
Luminária de mesa;19;68,43;2,5;22;130,93;261,86;250
Mão Decorativa Articulada (10cm);3;9,18;2,5;;17,68;35,36;41
Marcador de livro floral (15cm);1;0,55;2,5;;5,05;10,1;10
Marcador de livro floral (20cm);1;1,02;2,5;;5,52;11,04;12
Marcador de livro Tulipa;2;2,21;2,5;;8,71;17,42;12
Marcador de página Cruz 11cm;1;0,34;2,5;;4,84;9,68;8
Marcador de página Cruz 15cm;1;0,87;2,5;;5,37;10,74;10
Mike Wazowski (14cm);5;15,57;2,5;;28,07;56,14;65
Nome para Suporte BTS;1;10,5;2,5;;15;30;15
Nossa Senhora Aparecida (12cm);4;7,89;3;;18,89;37,78;38
Nossa Senhora Aparecida (16cm);7;19,02;2,5;;35,52;71,04;72
Nossa Senhora Aparecida (8cm);2;3,03;3;;10,03;20,06;22
Oração Santo Anjo;2;4,97;2,5;;11,47;22,94;22
Patolino (21cm);7;16,72;2,5;;33,22;66,44;95
Placa 25x25cm;5;26,67;2,5;;39,17;78,34;90
Placa Acesso Restrito redonda;3;12,6;2,5;;21,1;42,2;35
Placa Advogado;9;34,55;2,5;;55,05;110,1;95
Plaquinha Filamento;1;0,19;2,5;;4,69;9,38;5
Plaquinha nome pet com endereço;1;1,38;2,5;;5,88;11,76;20
Ponteira para lápis;1;1,53;2;;5,53;11,06;10
Porta caneta/escova de dentes Colméia (com acessórios);8;17,51;2,5;;36,01;72,02;52
Porta canetas Gatinho grande (16cm);6;24,37;2,5;;38,87;77,74;78
Porta canetas Gatinho médio (12cm);4;12,71;2,5;;23,21;46,42;35
Porta copo Stitch;10;27,75;2,5;;50,25;100,5;100
Porta Copos Monstera;5;15,12;2,5;;27,62;55,24;65
Porta Guardanapo Borboleta;3;6,46;2,5;;14,96;29,92;30
Porta Guardanapo Corda;11;21,23;2,5;;45,73;91,46;60
Porta Guardanapo Monstera;4;10,81;2,5;;21,31;42,62;52
Porta recados clipe ;1;1,46;2,5;;5,96;11,92;10
Porta tempero;2;3,75;2,5;;10,25;20,5;18
Pote com tampa (4,5cm);2;3,58;2,5;;10,08;20,16;22
Prateleira com gavetas;9;44,55;2,5;;65,05;130,1;130
Presépio ;4;10,5;2,5;;21;42;48
Presépio 2D para árvore de natal;1;0,31;2,5;;4,81;9,62;8
Presilha de filamento;1;0,28;2,5;;4,78;9,56;6
Raiva (8cm);9;19,2;2,5;;39,7;79,4;80
Rosa Botão;2;2,81;2,5;;9,31;18,62;20
Sagrada Família (10cm);4;7,4;3;;18,4;36,8;40
Shrek;1;1,43;2,5;;5,93;11,86;10
Suporte Bonecos BTS;8;36,59;2,5;;55,09;110,18;80
Suporte Dobrável para Celular;3;10,4;2,5;;18,9;37,8;40
Suporte fone Gatinho;6;17,97;2,5;;32,47;64,94;75
Suporte 10cm;1;2,19;2,5;;6,69;13,38;15
Suporte para Alexa Echo Dot 3ª geração;2;5,73;2,5;;12,23;24,46;20
Suporte para Alexa Echo Dot 4ª / 5ª geração;3;9,74;2,5;;18,24;36,48;30
Suporte para caixa de joias empilhável;2;4,4;;;8,4;16,8;10
Suporte para canetinhas (25 unidades);5;21,51;2,5;;34,01;68,02;50
Suporte para copo Stitch;9;28,35;2,5;;48,85;97,7;65
Suporte para foto polaroid;1;0,46;2,5;;4,96;9,92;
Suporte para fotos + Ramo de flor (16cm);3;5,96;;;11,96;23,92;30
Suporte para óculos Dinossauro;6;13,67;2,5;;28,17;56,34;58
Suporte para teclado;2;4,91;2,5;;11,41;22,82;25
Suporte Sachê de Chá;1;3,93;2,5;;8,43;16,86;20
Torre Suporte BTS;2;8,42;;;12,42;24,84;
Tulipa Com Folha;2;3,06;2,5;;9,56;19,12;20
Vasinho de Tulipa;3;5,79;2,5;;14,29;28,58;18
Vasinho Suculenta (7cm);2;4,11;2;;10,11;20,22;20
Vaso Curvas (20cm);4;14,45;2,5;;24,95;49,9;55
Vaso Espiral (16cm);3;11,28;2,5;;19,78;39,56;40
Vaso Felicia Espiral (11cm);2;7,87;2,5;;14,37;28,74;32
Vaso Felicia Espiral (15cm);3;14,85;2,5;;23,35;46,7;48
Vaso Felicia Espiral (17,5cm);4;20,33;2,5;;30,83;61,66;62
Vaso Trama;3;8,19;1,5;;15,69;31,38;32
Vaso Tricolor;3;11,29;1,5;;18,79;37,58;35
Suporte para controle remoto detalhes;6;24,92;2,5;;39,42;78,84;85
Rosa Mulher (11cm);1;0,4;2,5;;4,9;9,8;10
Rosa Mulher (21cm);1;1,4;2,5;;5,9;11,8;12
Clicker Flor Dia da Mulher;1;3,14;0,22;2,16;7,52;15,04;16
Jesus Minimalista;10;15,8;2,5;;38,3;76,6;80
Laço para presente;1;0,51;2,5;;5,01;10,02;6
Tiara Laço;1;2,18;2,5;;6,68;13,36;15
Tulipa Fina (16cm);1;0,75;2,5;;5,25;10,5;10
Marca Página Flores (Rosa);1;0,58;2,5;;5,08;10,16;9
Marca Página Flores (Trevo);1;0,36;2,5;;4,86;9,72;9
Marca Página Flores (Leque);1;0,56;2,5;;5,06;10,12;9
Brinco Gota;1;0,5;2,5;1;6;12;12
Chaveiro Trator;2;1,82;2,5;;8,32;16,64;25
Chaveiro Símbolo Feminino (coração);1;0,35;2,5;;4,85;9,7;12
Chaveiro Símbolo Feminino (mão fechada);1;0,54;2,5;;5,04;10,08;12
Bandeira Benchy;1;0,25;;;2,25;4,5;-
Chapéu Seletor Harry Potter;1;1;0,08;0,4;3,48;6,96;12
Kit Flores para Embalagens (50un);2;2,69;1,5;;8,19;16,38;18
Chaveiro Halter (4kg pequeno);1;1,74;0,5;0,4;4,64;9,28;12
Chaveiro Varinha Harry Potter;1;0,61;0,08;0,4;3,09;6,18;15
Varinha Harry Potter (28cm);2;4,26;1,5;;9,76;19,52;30
Chaveiro Coxinha;1;1,5;1,5;0,4;5,4;10,8;12
Enrolador de cabo de celular Ana Paula;2;5,38;1,5;;10,88;21,76;30
Enrolador de cabo de celular Hebi;;;1,5;;1,5;3;
Enrolador de cabo de celular Jane;1;0,43;0,22;;2,65;5,3;
Caixa de Lenços;18;26,54;1,5;;64,04;128,08;95
Moldura para 30 fotos 10x15;2;3,77;1,5;;9,27;18,54;18
Suporte de Fotos e Recados com Laço de Fita;1;0,43;0,5;;2,93;5,86;5
Suporte para Fotos Instax Polaroid;1;0,46;0,5;;2,96;5,92;5
Brinco Geométrico;1;0,66;;0;2,66;5,32;
Brinco Eclipse;1;1,3;0;0;3,3;6,6;
Clicker Baby Yoda;5;6,07;1,8;1,8;19,67;39,34;35
Estátua Menina e cão;1;1,83;1,8;;5,63;11,26;15
Colher para ração Pet (19cm);3;9,23;2,5;;17,73;35,46;40
Suporte de canetas giratório;10;46,09;2,5;;68,59;137,18;138
Placa QR Code A4;13;60;2,5;;88,5;177;180
Fidget Bola Articulada;5;12,5;2,5;;25;50;55
Luminária Nuvem com nome;9;47;2,5;35;102,5;205;240
Coelho Decorativo (10cm);3;2,74;1,2;;9,94;19,88;20
Coelho Decorativo (15cm);4;5,53;1,2;;14,73;29,46;28
Coelho Porta Treco;4;8,12;2,5;;18,62;37,24;35
Brinco Brisa;1;0,53;1,5;1;5,03;10,06;15
Brinco Lua Cheia;1;0,6;1,5;1;5,1;10,2;15
Santa Terezinha (16cm);3;7,06;2,5;;15,56;31,12;65
Plaquinha Santa Terezinha (14cm - com nome);3;6,43;2,5;;14,93;29,86;35
Broche (4,5cm);1;;;;2;4;
Cesta de Páscoa Surpresa;3;9,29;2,5;;17,79;35,58;35
Plaquinha com base + logo;2;8,73;;;12,73;25,46;
Kit Passantes para Agenda (50 un.);3;3,78;2,5;;12,28;24,56;25
Caixa Personalizada (5x5);1;3,52;0,15;;5,67;11,34;13
Placa Pix;4;11,7;2,5;;22,2;44,4;55
Contador de Livros;5;14,8;3;;27,8;55,6;60
Suporte 17,5cm;1;6;;;8;16;30
Porta canetas Jaqueta;4;19,07;3;;30,07;60,14;60
Chaveiro copo stanly;2;2,7;3;;9,7;19,4;20
Base Giratória 23cm;12;21,6;2,5;42,7;90,8;181,6;180
Suporte PS5 Homem Aranha;2;6,26;2,5;;12,76;25,52;35
Suporte PS4;2;6,21;2,5;;12,71;25,42;35
Origami;2;6;2,5;;12,5;25;25
Porta Guardanapo Personalizado;0;0;0;;0;0;
Cubo Bola;2;4,31;2,5;;10,81;21,62;28
Coelho Kinder Ovo;1;2,32;2,5;9,9;16,72;33,44;20
Dragão Grande;4;6,5;2,5;;17;34;34
Ovo do Dragão Grande;3;12,5;2,5;;21;42;
Estrela Sensorial;2;6;2,5;;12,5;25;35
Dragão Pequeno;2;2;2,5;;8,5;17;17
Ovo do Dragão Pequeno;2;5;2,5;;11,5;23;23
Carimbo e Cortador Personalizado;1;2,49;2,5;;6,99;13,98;25
Bolinha Espiral;2;1,15;2,5;0,4;8,05;16,1;20
Caixa Dobrável + Nossa Senhora Aparecida;2;4,64;3;;11,64;23,28;23
Abelha 6,7cm;4;3,66;2,5;;14,16;28,32;28
Brinquedo Gato Carretel;4;14;2,5;;24,5;49;50
Chaveiro Capivara Articulada;2;3,22;2,5;0,4;10,12;20,24;25
Família Personalizada;2;11;2,5;;17,5;35;45
Caixa Guarda Terço Nossa Senhora Aparecida;0;0;0;;0;0;47
Cruz Inquietação com Coração;1;0,88;3;;5,88;11,76;12
Caranguejo;1;1,44;2,5;0,4;6,34;12,68;20
Imã TGA Sistemas 3cm (6x2);1;3,31;2,5;11,2;19,01;38,02;50
Kit 50 Rosas 4cm;3;2,41;2,5;;10,91;21,82;25
"Kit 10 plaquinhas ""Mãe"" 3x3cm";2;4,29;2,5;;10,79;21,58;20
Cubo Infinito Supremo;2;4,48;2,5;;10,98;21,96;28
Flexagon Modular;3;3,94;2,5;;12,44;24,88;25
Estrela Antiestresse (12cm);2;4,99;2,5;;11,49;22,98;25
Estrela Antiestresse (17cm);3;12,44;2,5;;20,94;41,88;42
Cobrinha Articulada (15cm);1;0,84;2,5;;5,34;10,68;10
Suporte Batom Reto;2;3,34;2,5;0,4;10,24;20,48;22
Cobra Maluca;6;14;3;;29;58;58
Sonic;;;;;0;0;130
Bola Gear Grande;7;26,58;2,5;;43,08;86,16;80
Yoshi;13;51,79;2,5;;80,29;160,58;150
Snoop;2;3,41;2,5;;9,91;19,82;22
Chaveiro Nossa Senhora Aparecida;1;1,04;3;0,4;6,44;12,88;15
Axolote Articulado;5;8,81;2,5;;21,31;42,62;40
Suporte para Planta (formato folha);2;4,83;2,5;;11,33;22,66;22
Suporte para Planta (formato árvore);1;2,38;2,5;;6,88;13,76;14
Bolinha Articulada;2;2,18;2,5;;8,68;17,36;20
Chaveiro Água Viva;1;2,01;2,5;0,4;6,91;13,82;15
Bola Gear Média;4;21;2,5;;31,5;63;63
Bola Gear Pequena;3;13,9;2,5;;22,4;44,8;46
Cubo Infinito Supremo Rainbow;2;5,53;2,5;;12,03;24,06;30
Porta Chaves Personalizado;0;;;;0;0;45
Batman;9;24,1;2,5;;44,6;89,2;100
Sagrado Coração (15 cm);4;9,35;2,5;;19,85;39,7;40
Sagrado Coração (10 cm);3;4;2,5;;12,5;25;25
São Francisco (9 cm);2;5;2,5;;11,5;23;25
Dinossauro Móvel;3;4,4;2,5;;12,9;25,8;30
Santa Terezinha Caricatura;3;6;2,5;;14,5;29;30
Santo Antonio Caricatura;3;6,34;2,5;;14,84;29,68;30
Snoop Grande;10;34,75;2,5;;57,25;114,5;115
Porta Copos Vaso Monstera com Ímãs;5;18,09;2,5;3,36;33,95;67,9;70
Brinquedo Cinético;3;6,47;2,5;;14,97;29,94;30
Suporte Alexa Aranha;3;9,74;2,5;;18,24;36,48;38
Pinguim Madagascar (Recruta);4;14,93;2,5;;25,43;50,86;52
Chaveiro Espírito Santo;1;1,2;2,5;0,4;6,1;12,2;15
Anjo Rezando (11cm);2;3;2,5;;9,5;19;20
ArcSpin Médio;2;4,46;2,5;;10,96;21,92;22
Chaveiro Medalha de São Bento;2;1,07;2,5;0,4;7,97;15,94;15
Sagrada Família Estátua (15cm);4;9,84;3;;20,84;41,68;45
Groot com coração;3;4,31;2,5;;12,81;25,62;28
Porta Canetas Flores;5;11,38;2,5;;23,88;47,76;50
Porta Canetas Vasinho;4;14,85;2,5;;25,35;50,7;50
Caixa Copa Pequena;2;8,62;2,5;;15,12;30,24;30
Caixa Copa Grande;7;19,81;2,5;;36,31;72,62;70
Coração Anti-estresse;3;6,5;2,5;;15;30;30
Snoop com Coração;3;7,11;2,5;;15,61;31,22;32
Chaveiro Coração Giratório;1;1,31;2,5;0,4;6,21;12,42;15
Cachorro Tricô com Coração;2;3,5;2,5;;10;20;25
Gato Tricô com Coração;2;3,5;2,5;;10;20;25
Dinossauro Triceraptus;2;5;2,5;;11,5;23;25
Bailarina Giratória (sem detalhes);3;10,94;2,5;;19,44;38,88;45
Grogu Urbano;5;11,17;2,5;;23,67;47,34;58
Bailarina Giratória (com detalhes);4;14,78;2,5;;25,28;50,56;52
Terço de duas cores;4;8,62;2,5;;19,12;38,24;40
Terço cor única;3;7,58;2,5;;16,08;32,16;35
Dinossauro T-Rex 2;2;2,07;2,5;;8,57;17,14;20
Mini Darth Vader;3;2,31;2,5;;10,81;21,62;20
Mario Bros no cano;10;29,94;2,5;;52,44;104,88;105
São José segurando Jesus Caricatura;3;6,29;2,5;;14,79;29,58;30
Espírito Santo Base Dourada (15cm);6;8,62;2,5;;23,12;46,24;48
Espírito Santo Base Dourada (10cm);5;6,51;2,5;;19,01;38,02;38
Espírito Santo Base Dourada com suporte (10cm);2;3,35;2,5;;9,85;19,7;35
Suporte de Celular Coração;3;7,19;2,5;;15,69;31,38;30
Nossa Senhora Aparecida com Suporte 2D;1;1,96;3;;6,96;13,92;22
Chaveiro Nossa Senhora Aparecida 2D;1;0,44;3;0,4;5,84;11,68;12
Jesus Crucificado (9cm);2;2,12;2,5;;8,62;17,24;20
Taça Porta Copo Stanley;15;62;2,5;;94,5;189;150
Clicker Morango;;;;;0;0;
Dinossauro T-Rex Esqueleto;4;10,95;2,5;;21,45;42,9;45
Porta Canetas Coração;;;;;0;0;
Suporte Celular Coração;3;11,61;2,5;;20,11;40,22;45
Suporte Varinha Harry Potter;3;9,03;3;;18,03;36,06;45
Caldeirão Harry Potter;6;18,03;2,5;;32,53;65,06;65
Caracol Empilhado Arco-Íris;4;21,91;2,5;;32,41;64,82;64
Jesus Crucificado (15cm);5;9,78;2,5;;22,28;44,56;45
Bola Twist ;4;5,9;2,5;;16,4;32,8;35
Porta Treco 12cm;3;13,08;2,5;;21,58;43,16;45
Suporte Headphone;4;15,83;2,5;;26,33;52,66;55
Colher para ração Pet (14cm);2;5,1;2,5;;11,6;23,2;26
Ore e Confie (15x7);2;8;3;;15;30;30
Porta-Lápis Harry Potter;4;13,18;3;;24,18;48,36;50
Katana;4;17,71;3;;28,71;57,42;60
Organizador de Mesa Pequeno Snoopy e Woodstock para Post-It;5;12,91;3;;25,91;51,82;62
Nossa Senhora Aparecida (20cm);7;24,76;3;;41,76;83,52;85
Giro Orbital;2;4,19;3;;11,19;22,38;22
Pomo de Ouro Harry Potter;2;3,2;3;;10,2;20,4;25
Ore e Confie (18x9);3;11,79;3;;20,79;41,58;45
Espírito Santo (para parede - 20cm);4;13,2;3;;24,2;48,4;60
Camaleão;4;15,58;3;;26,58;53,16;50
Hulk;10;30;3;;53;106;85
São Miguel Arcanjo (17cm);6;16,2;3;;31,2;62,4;75
Porta Lápis Harry Potter;4;13,18;3;;24,18;48,36;55
